I;11039;54.0 deg;130.0 uSH;Dai;6.0 deg;8;Beta;28;21;2010-01-01
I;11039;54.0 deg;120.0 uSH;Dso;9.0 deg;6;Beta;27;35;2010-01-02
II;11035;249.0 deg;0.0 uSH;--;0.0 deg;--;--;31;0;2010-01-02
I;11039;52.0 deg;190.0 uSH;Dso;8.0 deg;12;Beta;28;46;2010-01-03
II;11035;247.0 deg;0.0 uSH;--;0.0 deg;--;--;30;0;2010-01-03
I;11039;52.0 deg;220.0 uSH;Dso;7.0 deg;10;Beta;29;59;2010-01-04
II;11035;247.0 deg;0.0 uSH;--;0.0 deg;--;--;30;0;2010-01-04
I;11039;52.0 deg;150.0 uSH;Dso;7.0 deg;5;Beta;28;72;2010-01-05
II;11035;247.0 deg;0.0 uSH;--;0.0 deg;--;--;30;0;2010-01-05
II;11036;209.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-01-05
I;11039;56.0 deg;90.0 uSH;Dro;5.0 deg;3;Beta;29;90;2010-01-06
II;11036;209.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-01-06
II;11038;207.0 deg;0.0 uSH;--;0.0 deg;--;--;15;0;2010-01-06
II;11036;209.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-01-07
II;11038;207.0 deg;0.0 uSH;--;0.0 deg;--;--;15;0;2010-01-07
I;11040;241.0 deg;80.0 uSH;Bxo;5.0 deg;5;Beta;28;59;2010-01-08
II;11036;209.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-01-08
II;11038;207.0 deg;0.0 uSH;--;0.0 deg;--;--;15;0;2010-01-08
I;11040;240.0 deg;40.0 uSH;Bxo;3.0 deg;4;Beta;29;47;2010-01-09
I;11040;239.0 deg;70.0 uSH;Cri;10.0 deg;10;Beta;30;35;2010-01-10
I;11040;243.0 deg;130.0 uSH;Eao;15.0 deg;15;Beta;30;18;2010-01-11
I;11040;237.0 deg;300.0 uSH;Dhc;9.0 deg;25;Beta;29;10;2010-01-12
I;11040;238.0 deg;300.0 uSH;Eao;12.0 deg;25;Beta;28;4;2010-01-13
I;11040;236.0 deg;380.0 uSH;Eki;13.0 deg;31;Beta;28;11;2010-01-14
I;11040;238.0 deg;290.0 uSH;Eki;13.0 deg;24;Beta;28;30;2010-01-15
I;11040;236.0 deg;350.0 uSH;Eki;13.0 deg;16;Beta;29;41;2010-01-16
I;11040;239.0 deg;290.0 uSH;Cki;12.0 deg;14;Beta;29;57;2010-01-17
II;11039;52.0 deg;0.0 uSH;--;0.0 deg;--;--;29;0;2010-01-17
I;11040;242.0 deg;160.0 uSH;Dso;8.0 deg;6;Beta;30;74;2010-01-18
II;11039;52.0 deg;0.0 uSH;--;0.0 deg;--;--;29;0;2010-01-18
I;11040;238.0 deg;140.0 uSH;Dho;5.0 deg;4;Beta;26;83;2010-01-19
II;11039;52.0 deg;0.0 uSH;--;0.0 deg;--;--;29;0;2010-01-19
IA;11041;52.0 deg;0.0 uSH;--;0.0 deg;--;--;27;90;2010-01-20
II;11039;52.0 deg;0.0 uSH;--;0.0 deg;--;--;29;0;2010-01-20
I;11041;52.0 deg;60.0 uSH;Cso;10.0 deg;6;Beta;25;77;2010-01-21
I;11041;55.0 deg;190.0 uSH;Cao;11.0 deg;7;Beta;24;61;2010-01-22
I;11041;52.0 deg;200.0 uSH;Eso;14.0 deg;7;Beta;25;50;2010-01-23
I;11042;130.0 deg;40.0 uSH;Cso;4.0 deg;3;Beta;22;28;2010-01-23
I;11041;54.0 deg;190.0 uSH;Eai;11.0 deg;9;Beta;24;35;2010-01-24
I;11042;131.0 deg;190.0 uSH;Cao;7.0 deg;11;Beta;22;42;2010-01-24
I;11041;53.0 deg;170.0 uSH;Dsi;9.0 deg;7;Beta;24;23;2010-01-25
I;11042;132.0 deg;160.0 uSH;Dai;6.0 deg;5;Beta;21;56;2010-01-25
I;11041;52.0 deg;50.0 uSH;Cai;11.0 deg;11;Beta;25;12;2010-01-26
I;11042;137.0 deg;50.0 uSH;Cro;3.0 deg;3;Beta;18;73;2010-01-26
I;11041;53.0 deg;60.0 uSH;Dso;4.0 deg;7;Beta;24;3;2010-01-27
I;11042;136.0 deg;90.0 uSH;Hsx;5.0 deg;1;Alpha;18;86;2010-01-27
